product_id,brand,product_name,old_image,replacement_source,source_page,replacement_image_url,new_cloudinary_image,status,confidence,notes
4,Whiskas,Whiskas Adult Mackerel Dry Cat Food,media/products/product-4-Whiskas_z73wn2,Supertails (retailer; official source checked first),https://supertails.com/products/whiskas-mackerel-flavour-adult-dry-cat-food,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/3_14_70400374-7dac-4e5b-9519-9b121a0231a2.jpg?v=1773647790,,MANUAL_REVIEW,unverified,"Exact product/size located, but downloaded image has an added flavour/size text panel beside the pack. Rejected under no-promotional-overlays rule; need a clean pack-only source."
5,Whiskas,Whiskas Adult Chicken Dry Cat Food,media/products/product-5-Whiskas_t5tnba,Supertails (retailer; official source checked first),https://supertails.com/products/whiskas-chicken-flavour-cat-adult-1-dry-food,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/3_33_7687bb9d-14bc-470e-b201-d1f34089a81d.jpg?v=1731563724,,MANUAL_REVIEW,unverified,"Exact product/size located, but downloaded image has an added flavour/size text panel beside the pack. Rejected under no-promotional-overlays rule; need a clean pack-only source."
6,Whiskas,Whiskas Kitten Ocean Fish Dry Cat Food,media/products/product-6-Whiskas_lnr5pf,Research lead (unapproved),https://www.whiskas.in/our-products/dry-cat-food/whiskas-kitten-dry-food-ocean-fish-milk,,,MANUAL_REVIEW,unverified,Manufacturer now labels Ocean Fish with Milk; alternate retailer original Ocean Fish pack needs exact formula/size visual verification.
7,Whiskas,Whiskas Tuna in Gravy Adult Wet Cat Food,media/products/product-7-Whiskas_ezjpae,Research lead (unapproved),https://www.whiskas.in/our-products/wet-cat-food,,,MANUAL_REVIEW,unverified,"Official range found Tuna in Jelly, not the audited Tuna in Gravy. Do not substitute jelly for gravy."
8,Whiskas,Whiskas Chicken in Gravy Adult Wet Cat Food,media/products/product-8-Whiskas_bsnsfp,Supertails (retailer; official source checked first),https://supertails.com/products/whiskas-chicken-in-gravy-adult-cat-wet-food,,,MANUAL_REVIEW,unverified,"Official and current retailer packs show 80g, audit lists 85g / 1.02 KG. Need matching 85g pack-only image."
9,Whiskas,Whiskas Mackerel in Gravy Adult Wet Cat Food,media/products/product-9-Whiskas_jkqjf2,Research lead (unapproved),https://www.whiskas.in/our-products/wet-cat-food,,,MANUAL_REVIEW,unverified,No exact adult Mackerel in Gravy pack established; do not substitute mackerel dry food or other fish flavours.
10,Whiskas,Whiskas Salmon in Gravy Adult Wet Cat Food,media/products/product-10-Whiskas_refyml,Research lead (unapproved),https://www.whiskas.in/our-products/wet-cat-food/whiskas-wet-food-adult-cats-1years-salmon-gravy-flavour-12-pouches-12-x,,,MANUAL_REVIEW,unverified,Official current Salmon in Gravy pack is 80g; audit lists 85g / 1.02 KG. Need the audited pack size.
11,Whiskas,Whiskas Kitten Tuna in Gravy Wet Cat Food,media/products/product-11-Whiskas_inrmqg,Research lead (unapproved),https://www.whiskas.in/our-products/wet-cat-food,,,MANUAL_REVIEW,unverified,"Official kitten Tuna in Jelly found, not Tuna in Gravy. Recipe identity unresolved."
12,Me-O,Me-O Adult Tuna Dry Cat Food,media/products/product-12-Me-O_f3v5sh,Supertails (retailer; official source checked first),https://supertails.com/products/me-o-tuna-adult-dry-cat-food,,,MANUAL_REVIEW,unverified,Retailer reuses a 7kg image across audited 450g / 1.2kg / 3kg variants; candidate is only 500px. Need correct-size clean image.
13,Me-O,Me-O Adult Mackerel Dry Cat Food,media/products/product-13-Me-O_daj4y3,Supertails (retailer; official source checked first),https://supertails.com/products/me-o-mackerel-adult-dry-cat-food,,,MANUAL_REVIEW,unverified,Retailer image metadata says 20kg across audited smaller sizes. Correct pack-size match not verified.
